Gene_ID	term
isogroup94633	GO:0044434;GO:0044435
isogroup285515	GO:0044434;GO:0044435
isogroup285515	GO:0009523;GO:0009521
isogroup285515	GO:0030076
isogroup285515	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup109145	GO:0044434;GO:0044435
isogroup297069	GO:0044434;GO:0044435
isogroup72647	GO:0044434;GO:0044435
isogroup175787	GO:0044434;GO:0044435
isogroup287472	GO:0044434;GO:0044435
isogroup287472	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup306421	GO:0044434;GO:0044435
isogroup306421	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup294581	GO:0044434;GO:0044435
isogroup293486	GO:0044434;GO:0044435
isogroup293486	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup295043	GO:0044434;GO:0044435
isogroup204816	GO:0044434;GO:0044435
isogroup296727	GO:0044434;GO:0044435
isogroup296727	GO:0009523;GO:0009521
isogroup296727	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup286649	GO:0044434;GO:0044435
isogroup293168	GO:0044434;GO:0044435
isogroup298099	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup285949	GO:0044434;GO:0044435
isogroup78077	GO:0044434;GO:0044435
isogroup78077	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup291475	GO:0044434;GO:0044435
isogroup289769	GO:0044434;GO:0044435
isogroup67898	GO:0044434;GO:0044435
isogroup288327	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup101919	GO:0044434;GO:0044435
isogroup100613	GO:0044434;GO:0044435
isogroup293544	GO:0044434;GO:0044435
isogroup87741	GO:0044434;GO:0044435
isogroup87741	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup300187	GO:0044434;GO:0044435
isogroup288843	GO:0044434;GO:0044435
isogroup288843	GO:0009523;GO:0009521
isogroup288843	GO:0030076
isogroup288843	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup86127	GO:0044434;GO:0044435
isogroup86127	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup293560	GO:0044434;GO:0044435
